1	pattyland	Sören Müller
5	rumorednow	rumorednow
8	alanmorford	Alan Morford
9	preemptive	preemptive
10	maninwhitecoat	maninwhitecoat
11	webosports	webosports
13	herrie	Herrie
14	at18061815	at18061815
16	boovish	Zach Saville
17	ventus221	Matthew Van Densen
19	brenthunter	Brent Hunter
21	chairmanhoneycrisp	Chairman Honeycrisp
27	marigx	George Mari
28	visiblink	visiblink
